sku_id,barcode_uid
10001,9ee37f89-e309-4104-8158-9e4542777832
10002,ddcb1944-79d6-4c70-8e82-7b80b0dd609b
10003,5be0701f-8cbb-4d70-80be-9a20eab351d9
10004,2d7283f9-0b01-4f83-b97c-49c8f8228586
10005,6710661a-702c-4dbc-9265-d0eb5dbbe998
10006,3b413a5c-2a74-459f-b671-6ba750943257
10007,76710167-d09c-454d-8bc3-ed8bb9c2d394
10008,ce059656-0ef8-468a-a6a3-5e02d08b4f89
10009,c2f471c0-469f-464b-b18f-bd96ef196c8e
10010,ca8ffea9-cc73-427c-b614-d4c3946774cd
10011,f46a2d99-042e-4d39-af6c-c8098d2cc3d6
10012,4734f5f2-96a3-4068-bd2d-23d1f2a476fc
10013,57b24c10-558d-44ce-8db3-52c0c717b0e8
10268,2d69268e-715a-410c-9f31-4c2b4b0f4a0e
10268,2d69268e-715a-410c-9f31-4c2b4b0f4a0e
10268,2d69268e-715a-410c-9f31-4c2b4b0f4a0e
10268,2d69268e-715a-410c-9f31-4c2b4b0f4a0e
10268,2d69268e-715a-410c-9f31-4c2b4b0f4a0e
10269,a6b8ea4d-cdb2-42c4-92ca-3f8798c16bf5
10269,a6b8ea4d-cdb2-42c4-92ca-3f8798c16bf5
10269,a6b8ea4d-cdb2-42c4-92ca-3f8798c16bf5
10269,a6b8ea4d-cdb2-42c4-92ca-3f8798c16bf5
10270,bbefb01e-4e41-45f2-864b-692e52f04acf
10270,bbefb01e-4e41-45f2-864b-692e52f04acf
10270,bbefb01e-4e41-45f2-864b-692e52f04acf
10270,bbefb01e-4e41-45f2-864b-692e52f04acf
10271,425b3920-6414-4805-b5c9-b9828e0c40ce
